ward,wardname,avg_proactive_building_score
01,Etobicoke North,89.02631578947368
02,Etobicoke Centre,91.23214285714286
03,Etobicoke-Lakeshore,89.21774193548387
04,Parkdale-High Park,86.5
05,York South-Weston,84.76521739130435
06,York Centre,87.09734513274336
07,Humber River-Black Creek,84.23076923076923
08,Eglinton-Lawrence,86.024
09,Davenport,84
10,Spadina-Fort York,87.31818181818181
11,University-Rosedale,83.65217391304348
12,Toronto-St. Paul's,87.46540880503144
13,Toronto Centre,90.575
14,Toronto-Danforth,90.6984126984127
15,Don Valley West,87.78021978021978
16,Don Valley East,89
17,Don Valley North,91.3
18,Willowdale,91.6842105263158
19,Beaches-East York,80.77083333333333
20,Scarborough Southwest,90.85
21,Scarborough Centre,88.8970588235294
22,Scarborough-Agincourt,88.1875
23,Scarborough North,92.5
24,Scarborough-Guildwood,87.43243243243244
25,Scarborough-Rouge Park,92.75
