year_built,avg_proactive_building_score
1838,89
1885,91.33333333333333
1888,90
1890,77
1891,92
1898,68
1900,79.22222222222223
1904,85
1905,83
1907,77.5
1909,97
1910,89
1911,86
1912,83
1913,72
1914,78.5
1915,89.5
1916,79
1917,80.33333333333333
1918,87
1919,72
1920,83.77777777777777
1921,81
1922,64
1923,86.2
1924,67
1925,79.28571428571429
1926,85.83333333333333
1927,83.3
1928,88.0909090909091
1929,85.5
1930,84.25925925925925
1931,89.4
1932,89.2
1933,83
1934,77.5
1935,84.5
1937,85.33333333333333
1938,81
1939,81
1940,82.15384615384616
1941,82
1943,85
1944,78
1945,83
1947,80.25
1948,87.8
1949,86
1950,86.33333333333333
1951,82.0625
1952,87.75862068965517
1953,84.75
1954,84
1955,88.69444444444444
1956,85.6923076923077
1957,84.64444444444445
1958,86.9622641509434
1959,89.22033898305085
1960,87.02325581395348
1961,88.94117647058823
1962,88.875
1963,91
1964,86.18604651162791
1965,88.91358024691358
1966,88.5
1967,86.1
1968,88.36666666666666
1969,88.90697674418605
1970,87.05714285714286
1971,87.2
1972,86.28571428571429
1973,89.88823529411765
1974,90.56666666666666
1975,90
1976,93.5
1977,88.66666666666667
1978,87.875
1979,92.06666666666666
1980,87.84615384615384
1981,92.8
1982,93
1983,91.9
1984,86.875
1985,84.57142857142857
1986,88.5
1987,84.14285714285714
1988,90.2
1989,91.38461538461539
1990,82.5
1991,91.2
1992,88.86363636363636
1993,90.1875
1994,87.33333333333333
1995,89.2
1996,91.2
1997,87
1999,96
2002,95
2003,98.33333333333333
2004,87
2005,95.85714285714286
2006,85.83333333333333
2007,88.33333333333333
2008,89.75
2009,87.33333333333333
2010,95
2011,86
2012,92.4
2013,96
2014,97
2015,98
2016,98
2017,99.75
2018,97
2019,95.8
2020,99
2021,99.14285714285714
2022,98.66666666666667
2023,96
NA,80.21428571428571
